Date & Time,SKU,Name,Brand,Average Rating,Rating Count,Sponsered,Price,Sales Price,Express,Rank,Link
2024-12-21 17:32:38,N20034888A,Generic Pilates Fitness Circle Ring 38X38cm ,Generic,4.2,45,N,NA,30.80,Y,97,https://www.noon.com/uae-en/pilates-fitness-circle-ring-38x38cm/N20034888A/p/?o=d4c16ece448fe3eb
2024-12-21 17:32:38,ZCBE37221BDED873009B5Z,Prickly Pear Prickly Pear Beige Rollable 4mm Non-Slip Yoga Mat with Carry Strap/Stretching Tool - Premium Exercise Mat ,Prickly Pear,NA,NA,N, ,275,Y,94,https://www.noon.com/uae-en/prickly-pear-beige-rollable-4mm-non-slip-yoga-mat-with-carry-strap-stretching-tool-premium-exercise-mat/ZCBE37221BDED873009B5Z/p/?o=zcbe37221bded873009b5z-1
2024-12-21 17:32:38,N30510959A,Generic Yoga Hemisphere Ball Yoga Balance Stability Trainer Exercise 58 x 23cm ,Generic,4.4,12,N,NA,145,N,93,https://www.noon.com/uae-en/yoga-hemisphere-ball-yoga-balance-stability-trainer-exercise-58-x-23cm/N30510959A/p/?o=c1297993bf63547b
2024-12-21 17:32:38,Z288231EEFD4008FE0C11Z,RIOXS 5 Pairs Yoga Socks For Women Non-Slip Grips & Straps Non Slip Socks For Yoga Pilates Ideal For Pilates Ballet Dance Barefoot Workout ,RIOXS,NA,NA,N, ,46.05,Y,96,https://www.noon.com/uae-en/5-pairs-yoga-socks-for-women-non-slip-grips-straps-non-slip-socks-for-yoga-pilates-ideal-for-pilates-ballet-dance-barefoot-workout/Z288231EEFD4008FE0C11Z/p/?o=z288231eefd4008fe0c11z-1
2024-12-21 17:32:38,N27330532A,Fitness World Yoga Mat 1meter ,Fitness World,4.4,88,N,NA,39.75,Y,92,https://www.noon.com/uae-en/yoga-mat-1meter/N27330532A/p/?o=b9b77fe99f710c6e
2024-12-21 17:32:38,ZB6A26C6FF922D524ABBAZ,MahMir MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners  Black+Light Grey ,MahMir,4.8,14,N, ,49.95,Y,91,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-black-light-grey/ZB6A26C6FF922D524ABBAZ/p/?o=zb6a26c6ff922d524abbaz-1
2024-12-21 17:32:38,ZC40EA8B4693C1223B885Z,RATSAW High Density Yoga Foam Roller for Back Legs Exercise Massage Muscle Recovery and for Pain Relief Great for Fitness Enthusiasts of all Levels 60Cm Perfect for Developing Core and Stamina ,RATSAW,4.3,3,N, ,69,Y,90,https://www.noon.com/uae-en/high-density-yoga-foam-roller-for-back-legs-exercise-massage-muscle-recovery-and-for-pain-relief-great-for-fitness-enthusiasts-of-all-levels-60cm-perfect-for-developing-core-and-stamina/ZC40EA8B4693C1223B885Z/p/?o=zc40ea8b4693c1223b885z-1
2024-12-21 17:32:38,Z221CC6C77CF371DDC115Z,Muyixin 6 Pairs Anti Slip Socks Women Pilates Grip Socks for Sports Yoga Barre ,Muyixin,NA,NA,N, ,75.90,Y,89,https://www.noon.com/uae-en/6-pairs-anti-slip-socks-women-pilates-grip-socks-for-sports-yoga-barre/Z221CC6C77CF371DDC115Z/p/?o=z221cc6c77cf371ddc115z-1
2024-12-21 17:32:38,Z5B95A4E25D4F219BBF89Z,Adidas Fitness Mat - 7Mm - Solar Red ,Adidas,NA,NA,N, ,105,Y,88,https://www.noon.com/uae-en/fitness-mat-7mm-solar-red/Z5B95A4E25D4F219BBF89Z/p/?o=z5b95a4e25d4f219bbf89z-1
2024-12-21 17:32:38,Z3F95B162CE89D5F0E378Z,"GROIC Yoga Mat, Extra Wide 72""x 31.5"" x 0.24"" Pilates Fitness Mats with Alignment Marks, Non Slip Fitness Yoga Mats, Exercise Mats for Yoga Pilates Home Floor Workout with Carrying Sling and Storage Bag ",GROIC,5.0,1,N, ,119.65,Y,86,https://www.noon.com/uae-en/yoga-mat-extra-wide-72-x-31-5-x-0-24-pilates-fitness-mats-with-alignment-marks-non-slip-fitness-yoga-mats-exercise-mats-for-yoga-pilates-home-floor-workout-with-carrying-sling-and-storage-bag/Z3F95B162CE89D5F0E378Z/p/?o=z3f95b162ce89d5f0e378z-1
2024-12-21 17:32:38,ZB5F2579CDC9F9A6C36F2Z,Generic Fittex Tough Non-Slip 10mm Thick Yoga Mat with Carry Strap 188 x 61 x 1 cm Grey ,Generic,4.5,36,N, ,31.50,N,83,https://www.noon.com/uae-en/fittex-tough-non-slip-10mm-thick-yoga-mat-with-carry-strap-188-x-61-x-1-cm-grey/ZB5F2579CDC9F9A6C36F2Z/p/?o=zb5f2579cdc9f9a6c36f2z-1
2024-12-21 17:32:38,ZB95DF9BD1990C80645E2Z,Gaiam 4MM GRAPE CLUSTER 2-COLOR YOGA MAT ,Gaiam,NA,NA,N, ,82,Y,84,https://www.noon.com/uae-en/4mm-grape-cluster-2-color-yoga-mat/ZB95DF9BD1990C80645E2Z/p/?o=zb95df9bd1990c80645e2z-1
2024-12-21 17:32:38,N30510957A,Generic Set Of 2 Yoga Block Props Brick ,Generic,4.7,35,N,NA,30.45,Y,81,https://www.noon.com/uae-en/set-of-2-yoga-block-props-brick/N30510957A/p/?o=da284812d39a3a2c
2024-12-21 17:32:38,3,"Generic 3Pack Chicken Leg Socks, Chicken Feet Stockings, Cotton Knee Thigh High Socks Novelty Pattern Athletic Socks for Women Girls Striped Socks Funny Gifts ",Generic,NA,NA,N, ,49,Y,85,https://www.noon.com/uae-en/3pack-chicken-leg-socks-chicken-feet-stockings-cotton-knee-thigh-high-socks-novelty-pattern-athletic-socks-for-women-girls-striped-socks-funny-gifts/Z1111D3B43FB145CE62DAZ/p/?o=z1111d3b43fb145ce62daz-1
2024-12-21 17:32:38,N43426873A,Generic 184-Piece First Aid Set 21x15x5cm 21x15x5cm ,Generic,4.2,24,N,NA,59,N,87,https://www.noon.com/uae-en/184-piece-first-aid-set-21x15x5cm-21x15x5cm/N43426873A/p/?o=cef378dd08611fbd
